Date,Open_T0,High_T0,Low_T0,Close_T0,AdjClose_T0,IncClose_T10,Increase,Volume_T0,Day,Month,Week,Open_S1,High_S1,Low_S1,Close_S1,AdjClose_S1,Volume_S1,Open_S2,High_S2,Low_S2,Close_S2,AdjClose_S2,Volume_S2,Open_S3,High_S3,Low_S3,Close_S3,AdjClose_S3,Volume_S3,Open_C1,High_C1,Low_C1,Close_C1,AdjClose_C1,Volume_C1,Open_C2,High_C2,Low_C2,Close_C2,AdjClose_C2,Volume_C2,Open_C3,High_C3,Low_C3,Close_C3,AdjClose_C3,Volume_C3
2017-02-02,451.121002,458.17099,444.213013,454.40799,427.083069,1.004951653,1,6285176,Fri,2,5,541.900024,541.900024,527.049988,530.849976,530.849976,1405061,370.950012,394.399994,369,389.299988,382.225159,1863055,242.304001,250.233994,241.091995,247.457993,219.014572,162662,197.449997,198,192.399994,193.899994,182.01738,4882873,83.5,87.199997,81,86,86,16549990,66,67.150002,65,66.099998,65.062317,8536836
2017-02-03,454.359985,457.313995,446.023987,450.45401,423.366852,0.9912986125,0,5546923,Mon,2,5,534.400024,534.400024,520,522.5,522.5,322716,389,389,377.5,379.75,372.848724,719064,247.591003,248.912003,245.695999,246.686996,218.332199,98113,193,196.399994,188.75,191.649994,179.905258,7158596,86.099998,93.25,86.050003,91.300003,91.300003,39982971,66.199997,66.75,64.900002,65.699997,64.668602,6179815
2017-02-06,451.977997,455.027008,446.976013,451.026001,423.904449,1.00126981,1,5045328,Tue,2,6,524.5,531.349976,523.700012,525.299988,525.299988,228656,385,397,383.149994,391.049988,383.94339,1765785,246.710007,249.110992,245.673996,246.664993,218.312729,89926,193.649994,194.399994,190.5,192.350006,180.562378,3509746,93.099998,94.25,90.099998,90.849998,90.849998,14878725,66.050003,66.75,65.550003,65.75,64.717819,4039553
2017-02-07,452.644989,457.122986,447.834015,450.45401,423.366852,0.9987318004,0,5076567,Wed,2,6,527.799988,527.799988,501.950012,506.799988,506.799988,726816,393.950012,397,386.649994,393.450012,386.299774,2246432,247.634995,248.074997,243.404999,244.792999,216.655914,61618,192.800003,195,187.949997,189,177.417679,4271007,91,96.25,89,89.800003,89.800003,39125532,66,67.400002,65.449997,66.449997,65.406822,5369534
2017-02-08,462.076996,462.458008,445.356995,448.404999,421.44104,0.9954512315,0,11847393,Thu,2,6,510.200012,515,507,513,513,355443,410,431.549988,406.350006,425.600006,417.865509,12272324,245.388,254.639008,245.388,252.832993,223.771759,442124,190.949997,191.699997,188.300003,189.300003,177.699295,4093024,90.400002,92.449997,89.300003,91.599998,91.599998,9792612,66.949997,68.150002,66.25,66.800003,65.751335,6762556
2017-02-09,447.453003,451.026001,434.924011,438.115997,411.770752,0.977054221,0,6807511,Fri,2,6,517.700012,518.150024,506.149994,512.799988,512.799988,379479,422.399994,429.5,418.649994,427,419.240051,1899826,252.876999,255.960999,249.177002,250.432007,221.646759,165297,190.199997,194,185.850006,193.649994,181.7827,4280685,92.25,93.400002,90.199997,91.849998,91.849998,12336141,66.699997,67.599998,65.25,65.900002,64.865463,7210142
2017-02-10,444.928009,449.501007,438.78299,446.071014,419.247406,1.018157331,1,8304594,Mon,2,6,512.5,514.700012,506.600006,509.399994,509.399994,345699,427,435.399994,423.75,432,424.14917,1554723,253.626007,254.110992,248.955994,249.572998,220.886475,82746,194.100006,195,191.399994,193.25,181.407242,2393140,92.349998,92.699997,90.199997,91,91,5076013,66.099998,66.25,61.400002,61.900002,60.928257,12944409
2017-02-13,450.786987,454.454987,447.881989,450.263,423.187347,1.009397575,1,5141799,Tue,2,7,512,513,503.799988,505.399994,505.399994,286215,432,432,422.600006,428.350006,420.565491,725350,250.080002,251.313004,247.149994,247.987,219.482773,53065,194.600006,195.25,178.300003,187.75,176.244278,5882506,91.550003,92.400002,85.5,88.5,88.5,10591156,62,63.049999,60.799999,61.650002,60.682182,9344061
2017-02-14,451.502014,452.407013,444.071014,450.072998,423.008759,0.99957802,0,3413010,Wed,2,7,503.850006,506.399994,468.299988,486.799988,486.799988,1242271,429.700012,431.850006,420.600006,428.350006,420.565491,860400,248.207001,249.352997,246.048996,248.317993,219.775726,35925,187.75,189.449997,180.399994,181.850006,170.705841,5326799,88.699997,89.5,87.099998,88.099998,88.099998,5183856,62.25,62.25,60.150002,60.75,59.79631,6643359
2017-02-15,450.359009,452.312012,435.639008,438.354004,411.994446,0.9739620149,0,4438487,Thu,2,7,449,453.25,435,436.549988,436.549988,3628635,429.950012,431.399994,410.5,412.450012,404.954468,1647015,248.472,249.330994,241.576996,242.457993,214.589294,54961,182.899994,184.449997,178.75,183.300003,172.066986,4927878,89,93.75,88.199997,89.75,89.75,28033955,60.799999,61.450001,58.099998,59,58.07378,7358587
